household_id,household_name,family_size,adults_count,children_count,elderly_count,activity_profile,dietary_preference
1,Household_0001,3,1,2,0,ACTIVE,LOW_SUGAR
2,Household_0002,4,1,3,0,SEDENTARY,BALANCED
3,Household_0003,1,1,0,0,ACTIVE,LOW_SUGAR
4,Household_0004,4,3,0,1,SEDENTARY,VEGETARIAN
5,Household_0005,5,3,1,1,SEDENTARY,BALANCED
6,Household_0006,2,1,0,1,MODERATE,BALANCED
7,Household_0007,3,2,1,0,MODERATE,LOW_SUGAR
8,Household_0008,2,2,0,0,MODERATE,BALANCED
9,Household_0009,3,1,2,0,MODERATE,BALANCED
10,Household_0010,3,1,2,0,MODERATE,BALANCED
11,Household_0011,4,3,1,0,SEDENTARY,BALANCED
12,Household_0012,6,3,3,0,ACTIVE,LOW_SODIUM
13,Household_0013,3,2,1,0,SEDENTARY,LOW_SUGAR
14,Household_0014,3,1,2,0,SEDENTARY,BALANCED
15,Household_0015,1,1,0,0,ACTIVE,BALANCED
16,Household_0016,4,1,3,0,MODERATE,BALANCED
17,Household_0017,4,2,2,0,SEDENTARY,VEGETARIAN
18,Household_0018,4,1,3,0,ACTIVE,VEGETARIAN
19,Household_0019,4,2,2,0,ACTIVE,BALANCED
20,Household_0020,2,2,0,0,SEDENTARY,BALANCED
21,Household_0021,3,2,1,0,MODERATE,LOW_SODIUM
22,Household_0022,3,3,0,0,MODERATE,BALANCED
23,Household_0023,2,2,0,0,ACTIVE,BALANCED
24,Household_0024,7,2,4,1,MODERATE,BALANCED
25,Household_0025,1,1,0,0,ACTIVE,LOW_SUGAR
26,Household_0026,4,2,2,0,MODERATE,BALANCED
27,Household_0027,3,2,1,0,SEDENTARY,VEGETARIAN
28,Household_0028,4,3,1,0,MODERATE,BALANCED
29,Household_0029,3,2,1,0,MODERATE,LOW_SUGAR
30,Household_0030,4,3,1,0,ACTIVE,BALANCED
31,Household_0031,2,2,0,0,MODERATE,LOW_SODIUM
32,Household_0032,4,2,2,0,MODERATE,BALANCED
33,Household_0033,3,1,2,0,MODERATE,BALANCED
34,Household_0034,2,1,0,1,SEDENTARY,LOW_SUGAR
35,Household_0035,3,2,1,0,MODERATE,VEGETARIAN
36,Household_0036,2,2,0,0,MODERATE,LOW_SODIUM
37,Household_0037,2,2,0,0,SEDENTARY,BALANCED
38,Household_0038,2,2,0,0,ACTIVE,LOW_SODIUM
39,Household_0039,4,2,1,1,ACTIVE,LOW_SODIUM
40,Household_0040,2,2,0,0,ACTIVE,BALANCED
